address,price,options,price_m2
"Quadra 16, SOBRADINHO, SOBRADINHO",491.000,"['Venda Casa 220 m²', '3 Quartos', '3 Vagas']",2.231
"SHIN QI 5, LAGO NORTE, BRASILIA",2.700.000,"['Venda Casa 890 m²', '4 Quartos', '4 Suítes', '4 Vagas']",3.033
"EQRSW 7/8, SUDOESTE, BRASILIA",680.000,"['Venda Apartamento 68 m²', '2 Quartos', '1 Vaga']",10.000
"SHIS QI 3 Conjunto 4, LAGO SUL, BRASILIA",3.650.000,"['Venda Casa 700 m²', '4 Quartos', '4 Suítes', '5 Vagas']",5.214
"Rua 4, VICENTE PIRES, VICENTE PIRES",780.000,"['Venda Casa Condominio 400 m²', '3 Quartos', '2 Suítes', '4 Vagas']",1.950
"SMPW Quadra 8, PARK WAY, BRASILIA",2.200.000,"['Venda Casa 420 m²', '3 Quartos', '2 Suítes', '3 Vagas']",5.238
"Rua 12, VICENTE PIRES, VICENTE PIRES",1.500.000,"['Venda Casa Condominio 330 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.545
"Quadra 206, SUL, AGUAS CLARAS",2.490.000,"['Venda Apartamento 284 m²', '3 Quartos', '3 Suítes', '3 Vagas']",8.767
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",645.000,"['Venda Casa 80 m²', '2 Quartos']",8.062
"QNA 51, TAGUATINGA NORTE, TAGUATINGA",1.280.000,"['Venda Casa 400 m²', '4 Quartos', '2 Suítes', '4 Vagas']",3.200
"Avenida das Araucárias, SUL, AGUAS CLARAS",1.350.000,"['Venda Apartamento 180 m²', '3 Quartos', '3 Suítes', '2 Vagas']",7.500
"SAUS Quadra 04 Lote 9/10, ASA SUL, BRASILIA",179.000,"['Venda Sala 26 m²', '2 Vagas']",6.884
"Área Especial, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",3.900.000,"['Venda Prédio 890 m²', '6 Vagas']",4.382
"Condomínio Vivendas Bela Vista, GRANDE COLORADO, SOBRADINHO",1.799.999,"['Venda Casa Condominio 798 m²', '5 Quartos', '3 Suítes', '4 Vagas']",2.255
"Condomínio Ecológico Parque do Mirante, SETOR TORORO, BRASILIA",1.185.000,"['Venda Casa Condominio 525 m²', '5 Quartos', '5 Suítes', '5 Vagas']",2.257
"SHCES Quadra 1505, NOVO, CRUZEIRO",467.000,"['Venda Apartamento 57 m²', '2 Quartos']",8.192
"SHIS QI 7 Conjunto 4, LAGO SUL, BRASILIA",4.800.000,"['Venda Casa 480 m²', '5 Quartos', '4 Suítes', '4 Vagas']",10.000
"Avenida das Araucárias, SUL, AGUAS CLARAS",790.383,"['Venda Apartamento 103 m²', '3 Quartos', '1 Suíte', '2 Vagas']",7.673
"SQN 402 Bloco E, ASA NORTE, BRASILIA",490.000,"['Venda Apartamento 45 m²', '2 Quartos']",10.888
"SMPW Quadra 17, PARK WAY, BRASILIA",3.500.000,"['Venda Casa Condominio 583 m²', '4 Quartos', '4 Suítes', '4 Vagas']",6.003
"QNM 36, TAGUATINGA NORTE, TAGUATINGA",450.000,"['Venda Casa 250 m²', '3 Quartos', '1 Suíte', '2 Vagas']",1.800
"Quadra 208, SUL, AGUAS CLARAS",620.000,"['Venda Apartamento 73 m²', '2 Quartos', '1 Suíte', '1 Vaga']",8.493
"Rua 13, NORTE, AGUAS CLARAS",539.990,"['Venda Apartamento 65 m²', '3 Quartos', '2 Suítes']",8.307
"Rua 3 Chacará 88, VICENTE PIRES, VICENTE PIRES",1.390.000,"['Venda Casa 400 m²', '4 Quartos', '3 Suítes', '4 Vagas']",3.475
"SMPW Quadra 5, PARK WAY, BRASILIA",2.900.000,"['Venda Casa Condominio 370 m²', '5 Quartos', '5 Suítes']",7.837
"SQNW 111 Bloco H, NOROESTE, BRASILIA",1.720.000,"['Venda Apartamento 133 m²', '3 Quartos', '1 Suíte', '2 Vagas']",12.932
"Habitaccional Vicente Pires, VICENTE PIRES, VICENTE PIRES",680.000,"['Venda Casa Condominio 200 m²', '3 Quartos', '1 Suíte']",3.400
"Rua 12, VICENTE PIRES, VICENTE PIRES",1.650.000,"['Venda Casa 960 m²', '3 Quartos', '3 Suítes', '4 Vagas']",1.718
"SQS 106 Bloco K, ASA SUL, BRASILIA",1.850.000,"['Venda Apartamento 240 m²', '4 Quartos', '1 Suíte']",7.708
"Área Especial 02 Módulo E, GUARA II, GUARA",490.000,"['Venda Apartamento 56 m²', '2 Quartos', '1 Suíte', '2 Vagas']",8.635
"SQNW 106 Bloco H, NOROESTE, BRASILIA",1.145.716,"['Venda Apartamento 78 m²', '2 Quartos', '1 Suíte', '2 Vagas']",14.572
"SIG Quadra 4, SIG, BRASILIA",2.695.000,"['Venda Sala 283 m²', '3 Vagas']",9.522
"SQNW 111 Bloco B, NOROESTE, BRASILIA",1.650.000,"['Venda Apartamento 130 m²', '2 Quartos', '2 Suítes', '2 Vagas']",12.692
"SQNW 104 Bloco A, NOROESTE, BRASILIA",1.076.829,"['Venda Apartamento 86 m²', '2 Quartos', '1 Suíte', '1 Vaga']",12.391
"QMSW 2, SUDOESTE, BRASILIA",5.900.000,['Venda Ponto Comercial 600 m²'],9.833
"MC 2, CONDOMÍNIO IMPÉRIO DOS NOBRES, SOBRADINHO",1.190.000,"['Venda Rural 33,00 ha', '4 Quartos', '2 Suítes']",3
"SGAN 601, ASA NORTE, BRASILIA",398.636,"['Venda Ponto Comercial 31 m²', '1 Vaga']",12.859
"CLSW 300B, SUDOESTE, BRASILIA",423.000,"['Venda Apartamento 44 m²', '1 Quarto', '1 Vaga']",9.613
"Rua 12 Chacará 129A Conjunto A, VICENTE PIRES, VICENTE PIRES",1.200.000,"['Venda Casa 400 m²', '3 Quartos', '2 Suítes', '2 Vagas']",3.000
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",190.000,"['Venda Apartamento 58 m²', '2 Quartos']",3.275
"QNA 45, TAGUATINGA NORTE, TAGUATINGA",1.500.000,"['Venda Casa 310 m²', '4 Quartos', '2 Suítes', '6 Vagas']",4.838
"SCRN 702/703, ASA NORTE, BRASILIA",665.000,"['Venda Apartamento 130 m²', '5 Quartos', '1 Suíte']",5.115
"Rua 6, VICENTE PIRES, VICENTE PIRES",1.300.000,"['Venda Casa Condominio 280 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.642
"QR 303 Conjunto 3, SAMAMBAIA SUL, SAMAMBAIA",180.000,"['Venda Apartamento 57 m²', '3 Quartos', '1 Vaga']",3.157
"Avenida Pau Brasil, SUL, AGUAS CLARAS",417.900,"['Venda Sala 121 m²', '1 Vaga']",3.453
"Área Especial 02 Módulo E, GUARA II, GUARA",500.834,"['Venda Apartamento 56 m²', '2 Quartos', '1 Suíte', '2 Vagas']",8.875
"RODOVIA DF 0250 KM 2,5, REGIAO DOS LAGOS, SOBRADINHO",280.000,['Venda Lote/Terreno 1000 m²'],0
"Quadra 103, NORTE, AGUAS CLARAS",490.000,"['Venda Apartamento 65 m²', '2 Quartos']",7.538
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",1.200.000,"['Venda Casa Condominio 571 m²', '4 Quartos', '4 Suítes', '2 Vagas']",2.101
"RURAL, ZONA RURAL, BRAZLANDIA",890.000,"['Venda Rural 2,00 ha', '3 Quartos', '1 Suíte', '20 Vagas']",44
"SHIS QL 10, LAGO SUL, BRASILIA",5.135.000,"['Venda Casa 500 m²', '5 Quartos', '5 Suítes', '4 Vagas']",10.270
"Residencial 1 Quadra A, ALPHAVILLE BRASILIA, ALPHAVILLE",1.305.000,"['Venda Casa 300 m²', '4 Quartos', '4 Suítes', '3 Vagas']",4.350
"QS 410 Conjunto H, SAMAMBAIA NORTE, SAMAMBAIA",215.000,"['Venda Apartamento 53 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.056
"Habitaccional Vicente Pires, VICENTE PIRES, VICENTE PIRES",959.000,"['Venda Casa Condominio 240 m²', '3 Quartos', '3 Suítes', '2 Vagas']",3.995
"Quadra 204, SUL, AGUAS CLARAS",195.000,"['Venda Kitnet 36 m²', '1 Quarto', '1 Vaga']",5.416
"Rua 4 Chacará 19, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",1.500.000,"['Venda Casa 388 m²', '4 Quartos', '3 Suítes', '3 Vagas']",3.865
"Avenida Flamboyant, NORTE, AGUAS CLARAS",790.000,"['Venda Apartamento 113 m²', '2 Quartos', '1 Vaga']",6.991
"Avenida Pau Brasil, SUL, AGUAS CLARAS",139.000,"['Venda Sala 30 m²', '1 Vaga']",4.633
"SETOR DE INDUSTRIAS, SETOR LESTE, GAMA",325.000,"['Venda Apartamento 57 m²', '2 Quartos', '1 Suíte', '1 Vaga']",5.701
"SHCES Quadra 1505 Bloco C, NOVO, CRUZEIRO",465.000,"['Venda Apartamento 57 m²', '2 Quartos']",8.157
"SQNW 110 Bloco F, NOROESTE, BRASILIA",2.884.100,"['Venda Apartamento 240 m²', '3 Quartos', '1 Suíte', '4 Vagas']",11.985
"QC 11 Rua I, JARDINS MANGUEIRAL, BRASILIA",540.000,"['Venda Casa Condominio 141 m²', '3 Quartos', '1 Suíte', '2 Vagas']",3.816
"QS 411 Conjunto F, SAMAMBAIA NORTE, SAMAMBAIA",350.000,"['Venda Apartamento 90 m²', '3 Quartos', '1 Suíte', '1 Vaga']",3.888
"Rua 31, SUL, AGUAS CLARAS",569.000,"['Venda Apartamento 62 m²', '2 Quartos', '1 Suíte', '1 Vaga']",9.177
"SETOR HOTELEIRO, TAGUATINGA CENTRO, TAGUATINGA",75.000,"['Venda Hotel Flat 22 m²', '1 Quarto']",3.409
"SQNW 311 Bloco H, NOROESTE, BRASILIA",2.145.139,"['Venda Apartamento 201 m²', '3 Quartos', '1 Suíte', '2 Vagas']",10.636
"SMHN 02 Bloco A, ASA NORTE, BRASILIA",278.000,['Venda Sala 45 m²'],6.177
"SQNW 311 Bloco H, NOROESTE, BRASILIA",1.404.908,"['Venda Apartamento 103 m²', '3 Quartos', '1 Suíte', '2 Vagas']",13.608
"SMPW Quadra 16, PARK WAY, BRASILIA",1.900.000,"['Venda Casa Condominio 600 m²', '4 Quartos', '2 Suítes', '4 Vagas']",3.166
"St Area Especiais Setor C Norte LT 02, TAGUATINGA NORTE, TAGUATINGA",288.300,['Venda Sala 25 m²'],11.499
"CLN 407 Bloco E, ASA NORTE, BRASILIA",230.000,['Venda Loja 37 m²'],6.216
"Área Especial 4 Módulo L, GUARA II, GUARA",629.000,"['Venda Apartamento 80 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.862
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",415.000,['Venda Lote/Terreno 504 m²'],823
"Rua 6, VICENTE PIRES, VICENTE PIRES",1.490.000,"['Venda Casa Condominio 630 m²', '6 Quartos', '4 Suítes', '6 Vagas']",2.365
"SQSW 500, SUDOESTE, BRASILIA",7.868.682,"['Venda Apartamento 548 m²', '4 Quartos', '4 Suítes', '6 Vagas']",14.358
"SQN 406 Bloco H, ASA NORTE, BRASILIA",850.000,"['Venda Apartamento 79 m²', '3 Quartos']",10.759
"SQN 310 Bloco F, ASA NORTE, BRASILIA",2.560.000,"['Venda Apartamento 270 m²', '5 Quartos', '3 Suítes', '3 Vagas']",9.481
"SHIS QI 23, LAGO SUL, BRASILIA",2.999.000,"['Venda Casa 450 m²', '4 Quartos', '2 Suítes', '4 Vagas']",6.664
"SQNW 303 Bloco A, NOROESTE, BRASILIA",2.723.752,"['Venda Apartamento 205 m²', '3 Quartos', '1 Suíte', '2 Vagas']",13.283
"SHA Conjunto 4, ARNIQUEIRAS, AGUAS CLARAS",1.600.000,"['Venda Lote/Terreno 2300 m²', '2 Quartos', '1 Suíte', '4 Vagas']",695
"QE 38 Conjunto F, GUARA II, GUARA",550.000,"['Venda Casa 360 m²', '5 Quartos', '3 Suítes', '2 Vagas']",1.527
"SGAN 601, ASA NORTE, BRASILIA",7.757.624,"['Venda Ponto Comercial 602 m²', '17 Vagas']",12.886
"Quadra 14, SOBRADINHO, SOBRADINHO",230.000,"['Venda Apartamento 75 m²', '2 Quartos', '1 Vaga']",3.059
"RODOVIA DF 140, JARDIM BOTANICO, BRASILIA",1.450.000,"['Venda Casa Condominio 377 m²', '3 Quartos', '3 Suítes', '2 Vagas']",3.846
"SHN Quadra 02 Bloco J, ASA NORTE, BRASILIA",270.000,"['Venda Apartamento 32 m²', '1 Quarto']",8.437
"Região dos Lagos, CONDOMINIO RK, SOBRADINHO",980.000,"['Venda Casa Condominio 460 m²', '3 Quartos', '3 Suítes', '6 Vagas']",2.130
"QN 320 Conjunto 4, SAMAMBAIA SUL, SAMAMBAIA",269.000,"['Venda Apartamento 50 m²', '2 Quartos', '1 Suíte', '1 Vaga']",5.355
"QI 10 Conjunto J, GUARA I, GUARA",590.000,"['Venda Casa 180 m²', '3 Quartos', '1 Suíte', '2 Vagas']",3.277
"Quadra 2, PARANOA, PARANOA",530.000,"['Venda Casa 322 m²', '4 Quartos', '4 Suítes', '1 Vaga']",1.642
"Quadra 204, SUL, AGUAS CLARAS",320.000,"['Venda Apartamento 66 m²', '2 Quartos', '1 Vaga']",4.848
"SQNW 104 Bloco A, NOROESTE, BRASILIA",1.076.829,"['Venda Apartamento 86 m²', '2 Quartos', '1 Suíte', '1 Vaga']",12.391
"SCES Trecho 4, ASA SUL, BRASILIA",800.000,"['Venda Hotel Flat 48 m²', '1 Quarto', '1 Suíte', '1 Vaga']",16.666
"Condomínio Residencial Prive La Font, PARANOA, PARANOA",630.000,"['Venda Casa Condominio 321 m²', '5 Quartos', '3 Suítes']",1.962
"Quadra 3 Comércio Local 20, SOBRADINHO, SOBRADINHO",275.000,"['Venda Apartamento 56 m²', '2 Quartos', '1 Suíte']",4.910
"QE 40 Conjunto I, GUARA II, GUARA",140.000,"['Venda Apartamento 52 m²', '2 Quartos']",2.692
"Rua 7, VICENTE PIRES, VICENTE PIRES",530.000,['Venda Lote/Terreno 960 m²'],552
"SHDB QL 32 Conjunto 1, LAGO SUL, BRASILIA",1.850.000,"['Venda Casa Condominio 500 m²', '7 Quartos', '2 Suítes', '6 Vagas']",3.700
"SHIS QI 28, LAGO SUL, BRASILIA",3.200.000,"['Venda Casa 700 m²', '5 Quartos', '5 Suítes', '10 Vagas']",4.571
"Quadra 301 Conjunto 1, SAMAMBAIA SUL, SAMAMBAIA",80.000,"['Venda Apartamento 47 m²', '2 Quartos', '1 Vaga']",1.702
"SHCES Quadra 309, NOVO, CRUZEIRO",419.000,"['Venda Apartamento 63 m²', '3 Quartos']",6.650
"SMPW Quadra 8 Conjunto 3, PARK WAY, BRASILIA",1.690.000,"['Venda Casa 406 m²', '3 Quartos', '3 Suítes', '3 Vagas']",4.162
"Rua 4 Chacará 33, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",650.000,"['Venda Casa Condominio 120 m²', '2 Quartos', '1 Suíte', '2 Vagas']",5.416
"Quadra C 7, TAGUATINGA CENTRO, TAGUATINGA",250.000,"['Venda Apartamento 44 m²', '2 Quartos', '1 Suíte', '1 Vaga']",5.681
"SMLN MI Trecho 13 Conjunto 1, LAGO NORTE, BRASILIA",1.100.000,"['Venda Casa 270 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.074
"Quadra 205, SUL, AGUAS CLARAS",890.000,"['Venda Apartamento 126 m²', '3 Quartos', '1 Suíte', '2 Vagas']",7.063
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",1.550.000,"['Venda Casa Condominio 330 m²', '4 Quartos', '3 Suítes', '4 Vagas']",4.696
"Rua 1, VICENTE PIRES, VICENTE PIRES",1.500.000,"['Venda Casa Condominio 390 m²', '3 Quartos', '3 Suítes', '8 Vagas']",3.846
"SGCV, PARK SUL, BRASILIA",363.586,"['Venda Apartamento 32 m²', '1 Quarto', '1 Suíte', '1 Vaga']",11.166
"SQS 106 Bloco K, ASA SUL, BRASILIA",1.850.000,"['Venda Apartamento 264 m²', '4 Quartos', '1 Suíte']",7.007
"BANANAL Quadra 7, SETOR HABITACIONAL FERCAL, SOBRADINHO",170.000,"['Venda Rural 2,50 ha']",6
"SQNW 106, NOROESTE, BRASILIA",2.688.173,"['Venda Apartamento 200 m²', '4 Quartos', '4 Suítes', '2 Vagas']",13.439
"Chacará 148, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",750.000,"['Venda Lote/Terreno 220 m²', '1 Suíte', '2 Vagas']",3.409
"Quadra 10 Conjunto B, JARDIM BOTANICO, BRASILIA",1.720.000,"['Venda Casa 420 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.095
"QR 406 Conjunto 9 A, SAMAMBAIA NORTE, SAMAMBAIA",275.000,"['Venda Apartamento 60 m²', '3 Quartos', '1 Vaga']",4.583
"QE 2, GUARA I, GUARA",480.000,"['Venda Apartamento 80 m²', '2 Quartos']",6.000
"SQSW 306, SUDOESTE, BRASILIA",1.920.000,"['Venda Apartamento 156 m²', '4 Quartos', '2 Suítes', '2 Vagas']",12.307
"QC 6, JARDINS MANGUEIRAL, BRASILIA",258.000,"['Venda Apartamento 46 m²', '2 Quartos', '1 Vaga']",5.608
"Via Basevi AR 02, NUCLEO RURAL LAGO OESTE, SOBRADINHO",580.000,"['Venda Casa Condominio 353 m²', '4 Quartos', '1 Suíte', '4 Vagas']",1.643
"SMAS Trecho 1 C, PARK SUL, BRASILIA",1.444.000,"['Venda Apartamento 97 m²', '3 Quartos', '2 Vagas']",14.886
"QNA 31, TAGUATINGA NORTE, TAGUATINGA",1.330.000,"['Venda Casa 450 m²', '5 Quartos', '2 Suítes', '4 Vagas']",2.955
"MC 2, CONDOMÍNIO IMPÉRIO DOS NOBRES, SOBRADINHO",85.000,"['Venda Rural 2,00 ha']",4
"Rua 10, VICENTE PIRES, VICENTE PIRES",900.000,"['Venda Casa Condominio 300 m²', '3 Quartos', '3 Suítes', '7 Vagas']",3.000
"SMPW Quadra 13 Conjunto 3, PARK WAY, BRASILIA",1.690.000,"['Venda Casa Condominio 380 m²', '4 Quartos', '3 Suítes', '2 Vagas']",4.447
"SQS 408 Bloco C, ASA SUL, BRASILIA",590.000,"['Venda Apartamento 60 m²', '2 Quartos', '2 Suítes']",9.833
"CNG 8, TAGUATINGA NORTE, TAGUATINGA",890.000,['Venda Prédio 1060 m²'],839
"SHIS QL 12, LAGO SUL, BRASILIA",4.450.000,['Venda Lote/Terreno 633 m²'],7.030
"SQNW 106, NOROESTE, BRASILIA",1.872.301,"['Venda Apartamento 135 m²', '4 Quartos', '2 Suítes', '3 Vagas']",13.789
"Rua 31, SUL, AGUAS CLARAS",500.000,"['Venda Apartamento 58 m²', '2 Quartos', '1 Suíte', '1 Vaga']",8.500
"SGCV Lote 10, PARK SUL, BRASILIA",366.191,"['Venda Apartamento 33 m²', '1 Quarto', '1 Suíte', '1 Vaga']",10.963
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",1.790.000,"['Venda Casa Condominio 386 m²', '5 Quartos', '5 Suítes', '3 Vagas']",4.637
"Condomínio Residencial Mansões Itaipu, JARDIM BOTANICO, BRASILIA",1.110.000,['Venda Lote/Terreno 33064 m²'],33
"Quadra 206, SUL, AGUAS CLARAS",2.200.000,"['Venda Apartamento 283 m²', '4 Quartos', '4 Suítes', '3 Vagas']",7.773
"QR 417, SAMAMBAIA NORTE, SAMAMBAIA",250.000,"['Venda Casa 250 m²', '4 Quartos', '1 Suíte', '5 Vagas']",1.000
"SHIN QI 6, LAGO NORTE, BRASILIA",4.500.000,"['Venda Casa 736 m²', '5 Quartos', '5 Suítes', '8 Vagas']",6.114
"SQS 104, ASA SUL, BRASILIA",1.900.000,"['Venda Apartamento 156 m²', '4 Quartos', '1 Suíte', '1 Vaga']",12.179
"QNP 19 Conjunto I, CEILANDIA NORTE, CEILANDIA",350.000,"['Venda Casa 135 m²', '3 Quartos', '2 Suítes', '2 Vagas']",2.592
"SHA Conjunto 1 Chacará 1, ARNIQUEIRAS, AGUAS CLARAS",1.850.000,"['Venda Casa Condominio 400 m²', '5 Quartos', '4 Suítes', '3 Vagas']",4.625
"Área Especial 02, GUARA II, GUARA",535.715,"['Venda Apartamento 57 m²', '2 Quartos', '1 Suíte', '2 Vagas']",9.370
"COLONIA AGRICOLA SAMAMBAIA, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",750.000,"['Venda Casa 300 m²', '4 Quartos', '1 Suíte', '3 Vagas']",2.500
"Condomínio Residencial Jardins do Lago, JARDIM BOTANICO, BRASILIA",2.400.000,"['Venda Casa Condominio 450 m²', '3 Quartos', '3 Suítes', '4 Vagas']",5.333
"SQNW 111 Bloco G, NOROESTE, BRASILIA",1.945.403,"['Venda Apartamento 152 m²', '4 Quartos', '4 Suítes', '3 Vagas']",12.746
"Rua 1, VICENTE PIRES, VICENTE PIRES",990.000,"['Venda Casa 208 m²', '2 Quartos', '2 Suítes', '4 Vagas']",4.759
"SGCV Lote 19, PARK SUL, BRASILIA",5.999.870,"['Venda Apartamento 404 m²', '4 Quartos', '4 Suítes', '4 Vagas']",14.829
"SQS 106 Bloco K, ASA SUL, BRASILIA",1.850.000,"['Venda Apartamento 235 m²', '4 Quartos', '1 Suíte']",7.872
"Condomínio Estancia Jardim Botânico, JARDIM BOTANICO, BRASILIA",1.700.000,"['Venda Casa Condominio 580 m²', '4 Quartos', '3 Suítes', '4 Vagas']",2.931
"SHIS QI 28, LAGO SUL, BRASILIA",2.290.000,"['Venda Casa 513 m²', '4 Quartos', '2 Suítes', '4 Vagas']",4.463
"QNM 33 Área Especial H, CEILANDIA SUL, CEILANDIA",279.000,"['Venda Apartamento 60 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.650
"QS 5 Rua 844, AREAL, AGUAS CLARAS",495.000,"['Venda Casa 257 m²', '4 Quartos', '1 Suíte', '4 Vagas']",1.926
"SMPW Quadra 17, PARK WAY, BRASILIA",1.875.000,"['Venda Casa 300 m²', '4 Quartos', '4 Suítes', '2 Vagas']",6.250
"SQNW 106 Bloco I, NOROESTE, BRASILIA",2.394.000,"['Venda Apartamento 164 m²', '4 Quartos', '3 Suítes', '3 Vagas']",14.587
"Quadra 107 Rua E, NORTE, AGUAS CLARAS",515.000,"['Venda Apartamento 77 m²', '3 Quartos', '1 Suíte', '1 Vaga']",6.646
"SQNW 311 Bloco H, NOROESTE, BRASILIA",2.300.000,"['Venda Apartamento 201 m²', '3 Quartos', '2 Suítes', '2 Vagas']",11.404
"COPAIBA 1, NORTE, AGUAS CLARAS",355.000,"['Venda Apartamento 43 m²', '1 Quarto', '1 Suíte', '1 Vaga']",8.255
"EQS 414/415, ASA SUL, BRASILIA",2.700.000,"['Venda Apartamento 235 m²', '3 Quartos', '3 Suítes', '4 Vagas']",11.489
"ADE Conjunto 09, ADE, AGUAS CLARAS",130.000,"['Venda Apartamento 65 m²', '2 Quartos']",2.000
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",795.000,"['Venda Casa Condominio 197 m²', '3 Quartos', '1 Suíte', '2 Vagas']",4.035
"SQNW 108 Bloco F, NOROESTE, BRASILIA",4.000.000,"['Venda Apartamento 305 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.114
"Rua 17, SUL, AGUAS CLARAS",530.000,"['Venda Apartamento 68 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.794
"Rua BURITI, SUL, AGUAS CLARAS",635.000,"['Venda Apartamento 87 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.298
"Avenida Pau Brasil, NORTE, AGUAS CLARAS",695.000,"['Venda Apartamento 101 m²', '3 Quartos', '1 Suíte', '1 Vaga']",6.881
"SHIS QI 26 Chacará s 6 a 11, LAGO SUL, BRASILIA",3.000.000,"['Venda Casa Condominio 360 m²', '3 Quartos', '2 Suítes', '4 Vagas']",8.333
"SQNW 307 Bloco H, NOROESTE, BRASILIA",1.047.094,"['Venda Apartamento 73 m²', '2 Quartos', '1 Suíte', '2 Vagas']",14.300
"SGAS 915, ASA SUL, BRASILIA",740.000,"['Venda Sala 80 m²', '1 Vaga']",9.162
"SHIS QI 21, LAGO SUL, BRASILIA",15.000.000,"['Venda Casa 1700 m²', '5 Quartos', '5 Suítes', '8 Vagas']",8.823
"QR 417 Conjunto I, SANTA MARIA, SANTA MARIA",160.000,"['Venda Casa 60 m²', '3 Quartos', '2 Vagas']",2.666
"CA 10, LAGO NORTE, BRASILIA",490.000,"['Venda Apartamento 52 m²', '2 Quartos', '1 Suíte', '1 Vaga']",9.423
"Area Especial 04 Lotes E F, GUARA II, GUARA",570.000,"['Venda Apartamento 62 m²', '2 Quartos', '1 Suíte', '1 Vaga']",9.193
"Condomínio Vivendas Colorado, GRANDE COLORADO, SOBRADINHO",1.350.000,"['Venda Casa Condominio 709 m²', '4 Quartos', '4 Suítes', '4 Vagas']",1.904
"Rua 12, VICENTE PIRES, VICENTE PIRES",1.500.000,"['Venda Casa Condominio 330 m²', '4 Quartos', '4 Suítes', '4 Vagas']",4.545
"QI 12 Conjunto R, GUARA I, GUARA",1.850.000,"['Venda Casa 360 m²', '6 Quartos', '5 Suítes', '4 Vagas']",5.138
"Condomínio Prive I Quadra 3 Conjunto C, LAGO NORTE, BRASILIA",2.599.000,"['Venda Casa Condominio 600 m²', '3 Quartos', '3 Suítes', '9 Vagas']",4.331
"CLN 308 Bloco D, ASA NORTE, BRASILIA",250.000,"['Venda Apartamento 42 m²', '1 Quarto', '1 Suíte']",5.952
"QR 521 Conjunto 1, SAMAMBAIA SUL, SAMAMBAIA",430.000,"['Venda Casa 160 m²', '5 Quartos', '5 Vagas']",2.687
"Avenida Pau Brasil, SUL, AGUAS CLARAS",146.000,"['Venda Sala 31 m²', '1 Vaga']",4.709
"SMLN MI Trecho 07, LAGO NORTE, BRASILIA",420.000,"['Venda Casa 230 m²', '3 Quartos', '2 Vagas']",1.826
"SQNW 302 Bloco D, NOROESTE, BRASILIA",974.240,"['Venda Apartamento 71 m²', '2 Quartos', '2 Suítes', '1 Vaga']",13.542
"Condomínio Vivendas Lago Azul, GRANDE COLORADO, SOBRADINHO",1.600.000,"['Venda Casa Condominio 327 m²', '4 Quartos', '3 Suítes', '3 Vagas']",4.892
"SMLN MI Trecho 07, LAGO NORTE, BRASILIA",175.000,['Venda Lote/Terreno '],0
"Rua 12, VICENTE PIRES, VICENTE PIRES",1.200.000,"['Venda Casa Condominio 360 m²', '3 Quartos', '2 Suítes']",3.333
"Rua 12 Chacará 141/1, VICENTE PIRES, VICENTE PIRES",1.650.000,"['Venda Casa Condominio 659 m²', '5 Quartos', '5 Suítes', '6 Vagas']",2.503
"SGCV, PARK SUL, BRASILIA",1.650.000,"['Venda Apartamento 121 m²', '4 Quartos', '4 Suítes', '2 Vagas']",13.636
"Área Especial 01, SETOR CENTRAL, GAMA",229.000,"['Venda Apartamento 53 m²', '2 Quartos', '1 Suíte', '1 Vaga']",4.320
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",740.000,"['Venda Casa Condominio 500 m²', '4 Quartos', '4 Suítes', '5 Vagas']",1.480
"QR 603, SAMAMBAIA NORTE, SAMAMBAIA",550.000,"['Venda Casa 200 m²', '3 Quartos', '2 Suítes', '4 Vagas']",2.750
"SQNW 302 Bloco C, NOROESTE, BRASILIA",3.996.984,"['Venda Apartamento 293 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.641
"Condomínio Estancia Jardim Botânico, JARDIM BOTANICO, BRASILIA",1.750.000,"['Venda Casa Condominio 530 m²', '4 Quartos', '4 Suítes', '2 Vagas']",3.301
