value,address_1,address_2,areas,bedrooms,spaces,bathrooms
1.270.000,Rodovia DF-001,,383,5,4,5
260.000,Setor Habitacional Jardim Botânico, Brasília,65,2,,1
575.000,Norte, Brasília,79,3,1,3
285.000,Quadra 107 Conjunto 3, Recanto das Emas,240,4,3,2
250.000,"Rodovia DF-240, Km 86 - Rodovia Taguatinga/Brazlândia Chácara,",,262,4,3,2
224.999,Setor Habitacional Sol Nascente, Ceilandia Sul,250,3,2,2
210.000,QS 412, Samambaia Norte,62,2,1,2
280.000,Quadra 1, Gama,60,2,1,2
310.000,Avenida Parque Águas Claras, Norte,54,2,1,2
435.000,"Rodovia DF-240, Km 86 - Rodovia Taguatinga/Brazlândia Chácara, Taguatinga Norte",,200,3,3,2
424.326,Rua 31, Sul,55,2,1,2
380.000,QN 8B, Riacho Fundo II,135,3,3,3
320.000,Quadra 801 Conjunto 1, Recanto das Emas,200,3,3,3
450.000,Quadra 1 Conjunto I, Setor Norte,180,4,2,2
179.000,QR 205 Conjunto D, Santa Maria,98,3,2,1
220.000,QNL 2 Bloco D, Taguatinga,65,2,2,2
439.000,QS 10 Conjunto 210C, Aguas Claras,227,5,3,3
265.000,Rua 70, Centro,159,2,2,3
474.707,Rua das Carnaúbas, Aguas Claras,68,2,2,2
380.000,QE 44 Conjunto G, Guara II,128,3,2,3
285.000,Taguatinga Norte, Brasília,130,3,2,2
3.303.632,SQNW 311 Bloco G, Setor Noroeste,306 - 354 m²,4,5,5
2.718.435,SQNW 102 Bloco L, Setor Noroeste,174,4,3,6
3.842.949,SQNW 102 Bloco E, Setor Noroeste,262,3,3,6
280.000,Rua 37, Sul,34,1,1,1
850.000,SIG Quadra 8, Zona Industrial,87,,,2
230.000,SAUS Quadra 4, Asa Sul,27,,1,1
215.000,Samambaia Sul, Brasília,52,2,2,2
240.000,QN 614 Conjunto D, Samambaia Norte,54,2,1,2
260.000,SHPS Quadra 103 Conjunto A, Setor Habitacional Por do Sol,300,3,5,3
41.993,Zona Industrial, Brasília,12,,1,
295.000,QMS 60D, Sobradinho,120,3,2,3
430.000,Chácara 62, Vicente Pires,300,3,5,2
450.000,QNL 10 Bloco H, Taguatinga Norte,120,3,4,4
270.000,QI 416 Conjunto 1, Samambaia Norte,59,2,1,2
300.000,QN 8F Conjunto 7, Riacho Fundo II,152,3,2,3
580.000,Chácaras Itaipú, Setor Habitacional Jardim Botânico,152,3,2,3
269.000,Samambaia Norte, Brasília,59,2,1,2
210.000,Avenida Eucalipto Quadra 406, Recanto das Emas,53,2,1,2
549.000,Área Especial, Guara II,62,2,1,2
549.999,QNO 4 Conjunto F, Ceilandia Norte,145,4,3,3
260.000,QNL 4 Bloco D, Taguatinga Norte,97,3,2,2
245.000,Riacho Fundo II, Brasília,170,3,3,2
235.000,Samambaia Sul, Brasília,54,2,1,2
240.000,, Brasília,120,3,2,2
1.828.104,SQNW 302 Bloco D, Setor Noroeste,144,2,3,4
3.842.949,SQNW 102 Bloco E, Setor Noroeste,262,3,3,6
3.582.585,SQNW 102 Bloco B, Setor Noroeste,248,3,4,6
